,instance_type,model,test_train_lo_model_r2,instance_predict_r2
57,c6in.4xlarge,linear-regression,0.9590336943041433,0.8113293517478737
31,m6i.large,random-forest,0.9638988851972313,0.8001765089722304
30,m6i.large,linear-regression,0.9548623879315085,0.6954824486648424
25,m6id.large,random-forest,0.9673565860562912,0.6656595246792101
42,c6i.large,linear-regression,0.9588831768757633,0.6474182566464692
24,m6id.large,linear-regression,0.9607462055075182,0.6418681539527984
58,c6in.4xlarge,random-forest,0.9652042389049982,0.6156021665677243
32,m6i.large,lasso,0.9164860323178923,0.5216703624034755
59,c6in.4xlarge,lasso,0.9263769429239034,0.5194233046578443
0,hpc7g.16xlarge,linear-regression,0.9602265064420392,0.4647911011604581
9,c7g.large,linear-regression,0.9589510980634407,0.4536088510345969
26,m6id.large,lasso,0.9296903068248881,0.4489986067692392
46,c6id.large,random-forest,0.966676454010831,0.42705416549623787
47,c6id.large,lasso,0.9269725768377507,0.4102061219312557
45,c6id.large,linear-regression,0.962278122805995,0.37612037811070986
12,m7g.large,linear-regression,0.9555198672891987,0.26027122040812256
44,c6i.large,lasso,0.927018755952255,0.17434267626221733
1,hpc7g.16xlarge,random-forest,0.9652410381905092,0.07822591825326708
8,t4g.medium,lasso,0.9237060861758497,-0.0413852505996406
10,c7g.large,random-forest,0.9631420841823691,-0.049288830118939364
34,r6a.large,random-forest,0.959398140987541,-0.0840299932610975
14,m7g.large,lasso,0.9175035539362256,-0.11061198639639414
2,hpc7g.16xlarge,lasso,0.9257999382043698,-0.21013455075512644
52,t3.medium,random-forest,0.9575345332040914,-0.294944730613508
20,c6a.large,lasso,0.92777245920808,-0.3174166342921887
11,c7g.large,lasso,0.9204311278548729,-0.3578927211040066
13,m7g.large,random-forest,0.9636421632258859,-0.5676034501637854
39,c7a.large,linear-regression,0.9682106956569653,-0.6916799004850516
6,t4g.medium,linear-regression,0.9594292314225493,-0.9991428003962641
15,hpc6a.48xlarge,linear-regression,0.9535008450379846,-1.4613631875523176
41,c7a.large,lasso,0.9414532682006833,-1.57845275381599
27,m6g.large,linear-regression,0.9577760779634387,-1.8337221618704138
29,m6g.large,lasso,0.9228112601113678,-1.894650430214806
35,r6a.large,lasso,0.9137995204546264,-2.186789143634551
5,m6a.large,lasso,0.9131136941401032,-2.906826404503775
43,c6i.large,random-forest,0.9651030028484174,-3.0098028089129603
21,r6i.large,linear-regression,0.9560391187627417,-3.1941981693009494
40,c7a.large,random-forest,0.971954757425576,-4.777099221493225
54,d3.xlarge,linear-regression,0.9522005809820233,-5.741547531362882
7,t4g.medium,random-forest,0.9623163721782602,-6.27015610670981
18,c6a.large,linear-regression,0.9624156541699007,-6.727650818890463
16,hpc6a.48xlarge,random-forest,0.9625813278491285,-6.8173582177206145
23,r6i.large,lasso,0.9197895773865998,-7.604063706568363
51,t3.medium,linear-regression,0.9554327156136053,-8.294236625219169
33,r6a.large,linear-regression,0.9525827959846829,-8.533041209100597
17,hpc6a.48xlarge,lasso,0.9127292136298745,-8.658037298889697
53,t3.medium,lasso,0.9173100176065802,-11.551750013564796
28,m6g.large,random-forest,0.9622243755482559,-18.218344147082902
4,m6a.large,random-forest,0.9590925374396441,-19.611434185354472
19,c6a.large,random-forest,0.9657869677319905,-21.99109836746946
56,d3.xlarge,lasso,0.9159297021177542,-22.70633118676833
3,m6a.large,linear-regression,0.9551686648555057,-25.818349522589084
55,d3.xlarge,random-forest,0.9598108340286954,-35.80410366414118
37,r7iz.large,random-forest,0.9575373466683759,-42.345007133580935
48,t3a.medium,linear-regression,0.952949249802562,-49.64975374593606
49,t3a.medium,random-forest,0.9566506753499958,-55.58254638459068
38,r7iz.large,lasso,0.918775642015099,-66.13800460280738
36,r7iz.large,linear-regression,0.954276349463865,-85.4437912839372
50,t3a.medium,lasso,0.9046633338295943,-107.26975563683689
22,r6i.large,random-forest,0.9625976937471841,-248.53285833346038
